,Department,zip_code,Variance,Distance,Cosine,Nouns_nb,Variance_std,Distance_std,Cosine_std
0,57,57000,809.5341747195415,9205.700655569954,1525.8374483078169,60,13.492236245325692,5.200960822355906,0.8620550555411395
1,95,95330,971.2936848205355,14651.592748255838,2485.219451056006,77,12.614203698967994,5.007379613211154,0.8493572970116221
2,84,84750,332.9532460701865,1662.744030460527,276.1879052189768,26,12.805894079622558,5.116135478340083,0.8498089391353133
3,33,33820,335.1883319957309,1578.285368847692,240.77744867209893,25,13.407533279829236,5.260951229492307,0.802591495573663
4,8,8500,206.17451032321605,678.9479360844794,110.07204251833963,17,12.127912371953885,4.99226423591529,0.8093532538113208
5,28,28600,366.9886052156318,2287.724396813387,398.9012539556102,31,11.838342103730058,4.9198374125019075,0.857852159044323
6,11,11390,169.0242384762666,411.9345751833918,63.79950819147174,13,13.001864498174353,5.281212502351177,0.8179424127111761
7,49,49000,261.7458767506178,991.8799225327978,155.66775533025668,20,13.08729383753089,5.220420644909462,0.8193039754224036
8,29,29280,133.6654886906462,323.8359674154226,55.91241742179528,12,11.138790724220518,4.9066055669003426,0.8471578397241709
9,33,33130,184.18699032870558,536.1463094865921,84.35533610336766,15,12.279132688580372,5.106155328443735,0.8033841533654064
10,63,63730,172.53498972586632,465.8581678312623,74.54668247012748,14,12.32392783756188,5.119320525618267,0.8191943128585437
11,59,59000,398.78909178633154,2376.7003637698554,400.4652510919904,31,12.864164251171985,5.111183577999689,0.8612155937462159
13,34,34000,560.2422758529664,3992.7086764745154,635.0266194181283,39,14.365186560332472,5.388270818454137,0.8569859911175821
14,60,60153,130.1581274994158,279.91907232904265,46.816330865823176,11,11.832557045401437,5.089437678709866,0.8512060157422395
15,92,92400,206.6350084781888,625.7177595264293,96.30371956478103,16,12.9146880298868,5.214314662720244,0.8025309963731753
16,92,92500,169.26747422499037,461.8939631738858,77.0213902446152,14,12.090533873213598,5.075757837075669,0.8463889037869803
17,17,17138,122.70478392127066,233.88290162917758,35.464327747042745,10,12.270478392127066,5.197397813981724,0.7880961721565054
18,1,1500,109.72765343708458,187.56702704025844,30.412381193330987,9,12.191961493009398,5.210195195562735,0.8447883664814163
19,13,13390,168.47694115073662,460.77037344392,75.879931856032,14,12.034067225052615,5.063410697185934,0.8338454050113406
20,73,73000,227.2171505455586,786.9152239227716,130.8261082000767,18,12.623175030308811,5.143236757665174,0.8550726026148804
21,41,41290,209.91958384283777,629.8168084156614,100.67356782124727,16,13.11997399017736,5.248473403463845,0.838946398510394
22,82,82000,167.44908740210866,458.8837247123357,77.06634469510081,14,11.960649100150619,5.042678293542151,0.8468829087373715
23,78,78130,226.12035020241797,783.7736686778194,131.70697586508703,18,12.562241677912109,5.122703716848493,0.8608299076149479
24,78,78150,139.2309717574436,288.70305229705457,47.744292103260115,11,12.657361068858508,5.249146405400992,0.868078038241093
25,45,45100,405.42428173136676,2292.6245286150925,372.2777679458488,30,13.514142724378893,5.270401215207109,0.8558109607950547
26,41,41250,130.88761780199903,280.2263466912702,47.90869494363836,11,11.898874345636274,5.095024485295822,0.8710671807934247
27,83,83140,127.02235048886818,274.9812530883102,45.84507128219249,11,11.547486408078926,4.999659147060186,0.833546750585318
28,67,67000,155.04956043360417,349.5331835715496,56.60533395636478,12,12.920796702800347,5.295957326841661,0.8576565750964361
29,31,31200,123.86637247622306,271.4609591854164,46.811974932105656,11,11.260579316020278,4.935653803371207,0.8511268169473756
30,31,31400,86.79382093876472,193.31570301727677,36.2226218519783,10,8.679382093876473,4.295904511495039,0.8049471522661845
31,69,69360,216.10497076995483,641.3989705935987,100.26203950510056,16,13.506560673122177,5.344991421613323,0.835516995875838
32,69,69003,121.28760678002804,344.37213858316517,64.36709543350162,13,9.329815906156004,4.415027417732887,0.8252191722243797
33,67,67300,345.6356596682879,1695.0990113103462,270.7814061103537,26,13.293679218011071,5.215689265570296,0.8331735572626268
34,38,38140,163.14835120998794,453.28335080315645,78.2274654730576,14,11.65345365785628,4.98113572311161,0.8596424777259077
35,38,38080,219.54723846628184,767.5933306285893,119.61253131361501,18,12.197068803682324,5.016949873389473,0.7817812504157844
36,91,91130,300.38358196750255,1402.2138977466489,225.72203052305508,24,12.515982581979273,5.080485136763221,0.8178334439241126
37,39,39100,95.9093567775286,145.3505929506891,22.7661979865437,8,11.988669597191075,5.191092605381754,0.8130784995194178
38,67,67000,140.4906458622751,289.3030887671056,45.72741279598269,11,12.771876896570463,5.26005615940192,0.8314075053815034
39,88,88640,922.053841266324,12125.22277491344,2028.4992570315635,69,13.363099148787304,5.168466655973333,0.8646629399111524
40,25,25150,555.1178552020531,4770.6135151510825,816.4817376178422,44,12.616314890955751,5.042931834197762,0.8630885175664293
41,90,90110,170.16073863073342,365.7167228920435,54.24754005221074,12,14.180061552561119,5.541162468061265,0.8219324250334961
42,77,77500,220.44862905210363,707.3635765228593,112.03981285478001,17,12.967566414829625,5.201202768550436,0.8238221533439707
43,59,59300,330.6948917111283,1961.0204654533725,341.7139517975237,29,11.403272127969942,4.830099668604365,0.8416599797968564
44,49,49700,350.14528873561517,1513.7720576652544,238.58783254432677,24,14.589387030650633,5.484681368352371,0.8644486686388652
45,60,60590,100.36477056185386,149.77929005248544,23.856704313358474,8,12.545596320231732,5.349260359017337,0.852025154048517
46,91,91560,191.74444135892193,546.6751767562922,88.25662861553728,15,12.782962757261462,5.20643025482183,0.8405393201479741
47,88,88000,190.06900075586188,544.6784208458997,86.01787083329349,15,12.671266717057458,5.187413531865712,0.8192178174599379
48,62,62560,148.84368807499993,430.1307331387842,73.73861955480132,14,10.631692005357138,4.726711353173453,0.8103145006022123
49,31,31100,166.66889717506555,559.5861099338044,99.18677311248156,16,10.416806073441597,4.663217582781703,0.826556442604013
50,35,35520,323.6465025856338,1644.6697821280356,277.90801675912394,26,12.447942407139761,5.060522406547802,0.8551015900280736
51,35,35700,146.29982279247568,296.3908741582031,47.239418560947854,11,13.299983890225063,5.388924984694602,0.858898519289961
52,59,59800,557.0126060074349,3841.56334452621,615.5132984447905,38,14.658226473879866,5.4645282283445376,0.8755523448716792
53,94,94430,38.30343777798681,43.2129129089709,7.611277350926028,5,7.660687555597361,4.32129129089709,0.7611277350926028
54,35,35310,145.13113181760824,379.42253721562616,64.11969864721202,13,11.163933216739094,4.864391502764438,0.8220474185540002
55,75,75020,301.7220938911016,2054.087957857361,371.31725248040476,31,9.732970770680698,4.417393457757766,0.7985317257643113
56,16,16600,235.5334122999023,735.899612430325,113.83795052171773,17,13.854906605876605,5.411026561987684,0.8370437538361598
57,67,67300,159.07718231095242,448.9513843012787,77.93123144312162,14,11.362655879353744,4.933531695618448,0.8563871587156222
58,94,94160,568.6115044005707,4333.7861035175965,692.2213545468508,41,13.8685732780627,5.285105004289752,0.8441723835937205
59,25,25190,1449.7026284379037,31474.345483367295,5356.133977874556,112,12.94377346819557,5.063440393077107,0.8616689153594845
60,13,13105,144.31744782187258,423.63861949881044,71.4985453617277,14,10.308389130133756,4.655369445041873,0.7856983006783262
61,21,21000,177.4915809302011,578.8205958068886,100.88017564865076,16,11.09322380813757,4.823504965057405,0.840668130405423
62,78,78260,148.56843492161488,481.08031706476737,85.59280711103254,15,9.904562328107659,4.581717305378737,0.8151695915336432
64,37,37270,208.17884166706025,628.6869768800547,100.21127925472138,16,13.011177604191266,5.239058140667122,0.8350939937893448
65,1,1500,277.51219448562415,1260.7034507067772,207.0222315207307,23,12.065747586331485,4.983017591726392,0.8182696898052597
66,33,33320,323.487659706969,1734.791936785672,291.2738047270543,27,11.981024433591445,4.94242717032955,0.8298398995072772
67,39,39570,220.07723206974117,838.6246406764062,137.9135480188724,19,11.583012214196904,4.904237664774305,0.8065119767185521
68,83,83570,264.66845092123316,921.4798270800817,141.7436890661054,19,13.929918469538586,5.388770918596969,0.8289104623748853
69,83,83570,264.66845092123316,921.4798270800817,141.7436890661054,19,13.929918469538586,5.388770918596969,0.8289104623748853
70,87,87240,263.80956875372203,922.7240843609118,144.03074458796357,19,13.884714144932738,5.396047276964397,0.8422850560699624
71,37,37000,188.10940922843238,332.00171467961445,36.12745565065427,11,17.100855384402944,6.036394812356626,0.6568628300118958
72,75,75005,815.595640382089,8315.017554190834,1322.9436955887888,56,14.564207863965875,5.399362048175866,0.8590543477849278
73,33,33140,367.86356799891456,2172.851994215849,374.8916843316068,30,12.262118933297153,4.995062055668619,0.8618199639807054
74,5,5300,145.64734393369326,380.63056494708945,66.76849726322071,13,11.203641841053328,4.879879037783198,0.8560063751694963
75,13,13320,111.32095967126044,257.49580039641063,47.19501745884027,11,10.120087242841858,4.681741825389284,0.8580912265243685
76,77,77000,259.4046294921058,1141.443707062111,197.97270204069696,22,11.791119522368446,4.941314749186628,0.8570246841588612
77,36,36000,708.6003292229591,6554.741792415351,1045.689470030159,50,14.172006584459181,5.350809626461511,0.8536240571674768
78,62,62590,138.86827927696433,330.38945551630627,55.059626603682815,12,11.572356606413694,5.005900841156156,0.8342367667224669
79,5,5000,417.17240987763483,2798.583451839096,478.4839208148107,34,12.269776761106908,4.988562302743487,0.8529125148214094
80,71,71580,377.5548849558657,2205.457649195974,374.96293260754493,30,12.58516283186219,5.0700175843585615,0.8619837531207929
81,63,63800,118.39072494627554,265.19363664553634,46.703097532194235,11,10.76279317693414,4.821702484464297,0.849147227858077
82,13,13014,121.78152043456771,345.348700878635,63.84360252399435,13,9.367809264197517,4.427547447161987,0.8185077246665943
83,63,63430,394.2298575900052,2143.140760464921,352.97767462873657,29,13.594133020345009,5.278671823805225,0.8694031394796468
84,54,54430,193.34609531202844,604.1636341719518,104.43695804249046,16,12.084130957001777,5.034696951432932,0.8703079836874205
85,33,33320,269.3360638593459,932.7488903336223,138.68708584925648,19,14.175582308386629,5.454671873296037,0.8110355897617337
86,17,17630,233.69187921831582,857.8059940773547,139.39306784519263,19,12.299572590437675,5.016409322089793,0.815164139445571
87,75,75011,556.7743192865182,4775.170383351845,813.4509585959181,44,12.653961801966323,5.04774881961083,0.8598847342451565
88,33,33390,386.3743132995843,2453.8866117235784,419.240145820573,32,12.074197290612009,4.9473520397652795,0.8452422294769617
89,79,79160,575.3366270312043,4845.920994624424,786.348359011104,44,13.07583243252737,5.12253804928586,0.831235051808778
90,56,56250,250.86285556999263,1117.7164469540794,189.59893698244304,22,11.402857071363302,4.838599337463547,0.8207746189716149
91,29,29400,237.2770253656252,1013.4935385642482,169.39452579639735,21,11.298905969791676,4.8261597074488005,0.8066405990304636
92,37,37230,300.90076793879183,1402.668541620287,240.04372895104134,24,12.53753199744966,5.082132397174953,0.869723655619715
93,56,56350,802.8167004601582,9849.748801753234,1645.69710362327,63,12.743122229526321,5.043394163724134,0.8426508467093037
94,66,66120,89.73438193039688,114.55270076489614,17.156140724341757,7,12.819197418628125,5.454890512614102,0.8169590821115122
95,53,53290,381.7930594216445,2219.363291457465,371.40577142615234,30,12.726435314054816,5.101984578063138,0.8538063710946031
